,,,,
Date,Headline (y/y),Core (y/y),Regulated Items (y/y),Fruits and Vegetables (y/y)
Mar 2023,32.665%,39.509%,11.302%,34.554%
Feb 2023,31.932%,40.262%,10.315%,18.206%
Jan 2023,25.834%,31.241%,10.136%,24.615%
Dec 2022,21.269%,24.449%,10.556%,28.032%
Nov 2022,18.724%,21.528%,10.639%,17.838%
Oct 2022,16.243%,19.021%,11.341%,2.116%
Sep 2022,15.021%,17.996%,11.862%,-7.256%
Aug 2022,14.560%,16.657%,11.002%,2.591%
Jul 2022,13.640%,15.637%,10.469%,0.554%
Jun 2022,13.155%,14.571%,10.612%,5.253%
May 2022,13.529%,13.343%,11.81%,23.521%
Apr 2022,13.111%,11.943%,9.107%,48.84%
Mar 2022,10.491%,10.055%,9.079%,24.205%
Feb 2022,8.819%,7.234%,8.68%,35.195%
Jan 2022,7.259%,6.269%,8.919%,14.182%
Dec 2021,5.899%,5.968%,8.181%,-5.07%
Nov 2021,5.556%,5.79%,7.796%,-6.5%
Oct 2021,6.267%,5.221%,6.348%,20.911%
Sep 2021,6.579%,4.848%,7.646%,25.946%
Aug 2021,5.682%,4.526%,8.55%,8.733%
Jul 2021,5.446%,4.567%,9.219%,0.774%
Jun 2021,4.93%,3.849%,9.507%,0.098%
May 2021,4.829%,3.413%,8.88%,6.931%
Apr 2021,4.101%,3.331%,8.854%,-5.32%
Mar 2021,4.476%,3.672%,8.337%,-1.516%
Feb 2021,4.455%,3.645%,9.729%,-7.647%
Jan 2021,4.285%,3.637%,9.297%,-8.518%
Dec 2020,5.428%,3.803%,9.459%,10.417%
Nov 2020,5.696%,4.021%,7.877%,19.487%
Oct 2020,4.52%,3.889%,7.998%,-2.02%
Sep 2020,3.694%,3.264%,7.386%,-5.808%
Aug 2020,3.366%,0.836%,9.039%,-5.636%
Jul 2020,4.203%,0.722%,8.62%,2.456%
Jun 2020,5.631%,0.954%,12.378%,8.38%
May 2020,4.696%,1.542%,11.641%,-0.965%
Apr 2020,5.881%,2.541%,12.112%,4.548%
Mar 2020,5.092%,1.887%,12.239%,-4.127%
Feb 2020,5.319%,1.916%,10.871%,-1.083%
Jan 2020,7.168%,2.663%,10.889%,10.272%
Dec 2019,7.1%,2.374%,10.766%,9.967%
Nov 2019,3.628%,2.114%,12.529%,-11.933%
Oct 2019,3.146%,2.723%,12.46%,-13.355%
Sep 2019,4.774%,2.603%,12.443%,-0.939%
Aug 2019,7.455%,4.907%,9.918%,15.488%
Jul 2019,8.659%,5.903%,10.702%,18.873%
Jun 2019,9.377%,6.398%,9.58%,24.163%
May 2019,14.088%,7.83%,19.93%,39.047%
Apr 2019,13.015%,8.109%,20.429%,27.415%
Mar 2019,14.162%,8.929%,20.463%,32.121%
Feb 2019,14.35%,9.201%,20.381%,32.737%
Jan 2019,12.714%,8.566%,20.361%,23.723%
