Macrotrends Data Download

Egypt External Debt 1970-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Current US $, Annual % Change 
1970-12-31,1801624657.4
1971-12-31,2049117407.7,13.74
1972-12-31,1952436870.5,-4.72
1973-12-31,1991608099.4,2.01
1974-12-31,2209478866.4,10.94
1975-12-31,4835420182,118.85
1976-12-31,6357338118.1,31.47
1977-12-31,11733540781.4,84.57
1978-12-31,12857846527.8,9.58
1979-12-31,14905845250.8,15.93
1980-12-31,19130724407.9,28.34
1981-12-31,22077857201.7,15.41
1982-12-31,27323635750.8,23.76
1983-12-31,30213012849.9,10.57
1984-12-31,32187450012.1,6.54
1985-12-31,36124676237.8,12.23
1986-12-31,39891292452.4,10.43
1987-12-31,44151539093.1,10.68
1988-12-31,46148551466.9,4.52
1989-12-31,45676111287.4,-1.02
1990-12-31,33015720171.3,-27.72
1991-12-31,32604272498.3,-1.25
1992-12-31,31168986021.5,-4.4
1993-12-31,30651243858.9,-1.66
1994-12-31,32499139580,6.03
1995-12-31,33475216024.7,3
1996-12-31,31512670142.2,-5.86
1997-12-31,29952913694.8,-4.95
1998-12-31,32347186890.4,7.99
1999-12-31,31121616151.4,-3.79
2000-12-31,29232716500.9,-6.07
2001-12-31,28331673242.3,-3.08
2002-12-31,29671747582,4.73
2003-12-31,30467606765.2,2.68
2004-12-31,31403286339,3.07
2005-12-31,30575696632.4,-2.64
2006-12-31,31025131832.6,1.47
2007-12-31,34594605133.8,11.51
2008-12-31,33911646196.5,-1.97
2009-12-31,35397684322.4,4.38
2010-12-31,36775092025,3.89
2011-12-31,35175105537.6,-4.35
2012-12-31,40027463600.4,13.79
2013-12-31,46501663516.8,16.17
2014-12-31,41741489490.1,-10.24
2015-12-31,49846045120.1,19.42
2016-12-31,69163941956.8,38.76
2017-12-31,84540350199.7,22.23
2018-12-31,99355940390,17.52
2019-12-31,114484064358.7,15.23
2020-12-31,129791779307.4,13.37
2021-12-31,143245782750.8,10.37
